serialnumber,listyear,daterecorded,town,address,assessedvalue,saleamount,salesratio,propertytype,residentialtype,geo_coordinates,:@computed_region_dam5_q64j,:@computed_region_nhmp_cq6b,:@computed_region_m4y2_whse,:@computed_region_snd5_k6zv,nonusecode,remarks,opm_remarks
200486,2020,2021-01-13T00:00:00.000,Danbury,26 SADDLE ROCK RD,222300,346000,0.6424,Residential,Single Family,"{'type': 'Point', 'coordinates': [-73.49686, 41.42409]}",1040,60,34,9,,E08012,
200601,2020,2021-02-16T00:00:00.000,Danbury,8 DRIFTWAY RD B5,116800,230000,0.5078,Residential,Condo,,,,,,,E15004-13,
200735,2020,2021-03-23T00:00:00.000,Danbury,1A BRIARWOOD DR,152700,270000,0.5655,Residential,Single Family,"{'type': 'Point', 'coordinates': [-73.43127, 41.39802]}",1040,1,34,9,,K13088,
200855,2020,2021-04-22T00:00:00.000,Danbury,10 SOUTH ST 64,129500,248500,0.5211,Residential,Condo,"{'type': 'Point', 'coordinates': [-73.42506, 41.38314]}",1040,1,34,9,,K16163-47,
200988,2020,2021-05-25T00:00:00.000,Danbury,25-27 EAST LAKE RD,435300,750000,0.5804,Residential,Single Family,,,,,,,E06069,
201119,2020,2021-06-28T00:00:00.000,Danbury,17 WESTVIEW DR,163800,370000,0.4427,Residential,Single Family,,,,,,,L14080,
201247,2020,2021-07-21T00:00:00.000,Danbury,19 GREAT PLAIN RD,12800,20000,0.64,Vacant Land,,"{'type': 'Point', 'coordinates': [-73.43581, 41.41717]}",1040,60,34,9,,J10189,
201370,2020,2021-08-16T00:00:00.000,Danbury,136 PEMBROKE RD 2-12,118100,259900,0.4544,Residential,Condo,,,,,,,G05015-12,
201485,2020,2021-09-07T00:00:00.000,Danbury,16 DAVIS ST,177000,350000,0.5057,Residential,Two Family,,,,,,,G13161,
201602,2020,2021-09-29T00:00:00.000,Danbury,19 TRIANGLE ST 3,93800,250000,0.3752,Residential,Condo,"{'type': 'Point', 'coordinates': [-73.43891, 41.38945]}",1040,1,34,9,,J15028-3,
20114,2020,2020-12-10T00:00:00.000,Darien,21 OAK PARK AVE,715190,1182500,0.6048,Residential,Single Family,,,,,,,,
20224,2020,2021-03-17T00:00:00.000,Darien,12 SUNNYSIDE AVE,602980,650000,0.9276,Residential,Single Family,,,,,,,,
20340,2020,2021-05-19T00:00:00.000,Darien,23 HOYT COURT,458290,820000,0.5588,Residential,Single Family,"{'type': 'Point', 'coordinates': [-73.5137, 41.08147]}",1040,5,35,9,,,
20453,2020,2021-07-01T00:00:00.000,Darien,175 BROOKSIDE RD,2228310,2650000,0.8408,Residential,Single Family,"{'type': 'Point', 'coordinates': [-73.4693, 41.09638]}",1040,5,35,9,,,
20561,2020,2021-08-10T00:00:00.000,Darien,52 ARROWHEAD WAY,1049510,2200000,0.477,Residential,Single Family,,,,,,,,
20059,2020,2020-12-21T00:00:00.000,Derby,5 BEECH ST,161490,337000,0.4791,Residential,Single Family,,,,,,,,
20018,2020,2020-12-22T00:00:00.000,Eastford,163 UNION RD,150530,230000,0.6544,Residential,Single Family,,,,,,,,
200086,2020,2021-06-01T00:00:00.000,East Granby,39 NORTH MAIN STREET,253900,390000,0.651,Residential,Single Family,,,,,,,,
200075,2020,2020-12-08T00:00:00.000,East Haddam,9 NORWICH SALEM RD,212600,525000,0.404952381,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.36089, 41.43053]}",1043,192,41,3,,,GOOD SALE PER MLS
200236,2020,2021-07-01T00:00:00.000,East Haddam,48 NORWICH RD,252310,450000,0.5606,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.45801, 41.45778]}",1043,192,41,3,,,
20087,2020,2020-11-02T00:00:00.000,East Hartford,31 HIGH ST #9204,78270,136000,0.5755,Residential,Condo,"{'type': 'Point', 'coordinates': [-72.63429, 41.74447]}",1041,24,43,1,,,
20239,2020,2020-12-22T00:00:00.000,East Hartford,23 ROBIN TER,104550,138295,0.7559,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.64508, 41.77144]}",1041,119,43,1,,,
20398,2020,2021-03-05T00:00:00.000,East Hartford,26 NORTHBROOK CT,83950,136000,0.6172,Residential,Condo,"{'type': 'Point', 'coordinates': [-72.62376, 41.79347]}",1041,119,43,1,,,
20548,2020,2021-05-17T00:00:00.000,East Hartford,222-224 PARK AVE,136010,238000,0.5714,Residential,Two Family,,,,,,,,
20713,2020,2021-07-12T00:00:00.000,East Hartford,781 TOLLAND ST,110960,230000,0.4824,Residential,Single Family,,,,,,,,
20854,2020,2021-08-26T00:00:00.000,East Hartford,39 MURRAY ST,132190,245000,0.5395,Residential,Two Family,"{'type': 'Point', 'coordinates': [-72.63782, 41.78057]}",1041,119,43,1,,,
200044,2020,2020-10-21T00:00:00.000,East Haven,6 CLANCY ST,125720,215000,0.5847,Residential,Single Family,,,,,,,,
200151,2020,2020-12-09T00:00:00.000,East Haven,33 ELM ST,141070,245000,0.5757,Residential,Single Family,,,,,,,,
200263,2020,2021-02-10T00:00:00.000,East Haven,317 FOXON RD,1890000,2500000,0.756,Commercial,,"{'type': 'Point', 'coordinates': [-72.83637, 41.32474]}",1044,242,44,7,,,
200408,2020,2021-04-21T00:00:00.000,East Haven,560 SILVER SANDS RD #2001,142970,235000,0.6083,Residential,Condo,"{'type': 'Point', 'coordinates': [-72.87918, 41.24899]}",1044,130,44,7,,,
200537,2020,2021-06-21T00:00:00.000,East Haven,173 RUSSO AVE #602,92650,145000,0.6389,Residential,Condo,,,,,,,,
200663,2020,2021-08-23T00:00:00.000,East Haven,58 MASSACHUSETTS AVE,96600,238000,0.4058,Residential,Single Family,,,,,,,,
200041,2020,2020-10-20T00:00:00.000,East Lyme,231 BOSTON POST RD #15,81970,145500,0.5633,Residential,Condo,,,,,,,,
200160,2020,2021-01-11T00:00:00.000,East Lyme,14 CEDARBROOK LN,211330,389900,0.542,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.21023, 41.38152]}",1045,278,45,8,,,
200313,2020,2021-05-06T00:00:00.000,East Lyme,9 INDIAN ROCKS RD,147630,325000,0.4542,Residential,Single Family,,,,,,,,
200446,2020,2021-08-04T00:00:00.000,East Lyme,4 SPINNAKER DR,232120,399900,0.5804,Residential,Condo,,,,,,,,
200029,2020,2020-11-09T00:00:00.000,Easton,22 SENIOR DRIVE,298830,625000,0.4781,Residential,Single Family,"{'type': 'Point', 'coordinates': [-73.2601, 41.23458]}",1040,42,46,2,,,
200148,2020,2021-06-09T00:00:00.000,Easton,45 HIGH MEADOW ROAD,552930,899900,0.6144,Residential,Single Family,,,,,,,,
200068,2020,2021-01-08T00:00:00.000,East Windsor,70 GRIFFIN RD,188280,366000,0.5144,Residential,Single Family,,,,,,,,
200233,2020,2021-08-24T00:00:00.000,East Windsor,3 EASTWOOD DR,145210,310377,0.4678,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.52123, 41.9193]}",1041,183,47,1,,,
200089,2020,2020-11-02T00:00:00.000,Enfield,6 YALE DR,145870,257500,0.5664,Residential,Single Family,,,,,,,,
200217,2020,2020-12-16T00:00:00.000,Enfield,3 BURNHAM ST,126750,254000,0.499,Residential,Single Family,,,,,,,,
200346,2020,2021-02-22T00:00:00.000,Enfield,3 NORTHFIELD RD,146510,285000,0.514,Residential,Single Family,,,,,,,,
200481,2020,2021-04-30T00:00:00.000,Enfield,37 PEARL ST,128590,365000,0.3523,Commercial,,,,,,,,,
200611,2020,2021-06-17T00:00:00.000,Enfield,17 LOCKE DR,109770,241500,0.4545,Residential,Single Family,,,,,,,,
200742,2020,2021-07-21T00:00:00.000,Enfield,1 DIAMOND DR,190080,340000,0.559,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.56246, 41.95897]}",1041,108,49,1,,,
200864,2020,2021-08-30T00:00:00.000,Enfield,15 CLAREMONT AVE,106590,220000,0.4845,Residential,Single Family,,,,,,,,
200037,2020,2020-11-04T00:00:00.000,Essex,20 COMSTOCK AVE UNIT 2C,87400,147000,0.5945,Residential,Condo,"{'type': 'Point', 'coordinates': [-72.43878, 41.34608]}",1043,162,50,3,,,
200163,2020,2021-06-17T00:00:00.000,Essex,27 NORTH MAIN ST #4,156300,256500,0.6093,Residential,Condo,,,,,,,,
20064,2020,2020-10-30T00:00:00.000,Farmington,303 MEADOW RD,192210,285000,0.6744,Residential,Single Family,,,,,,,,
200177,2020,2021-01-04T00:00:00.000,Farmington,124 MOUNTAIN RD,248520,375000,0.6627,Residential,Single Family,,,,,,,,
200303,2020,2021-03-29T00:00:00.000,Farmington,9324 GATESHEAD WAY,165960,175000,0.9483,Vacant Land,,,,,,,,,
200412,2020,2021-06-01T00:00:00.000,Farmington,1 TOWNSEND RD,486680,1000000,0.4866,Residential,Single Family,,,,,,,,
200532,2020,2021-07-14T00:00:00.000,Farmington,62 HIGHWOOD RD,199650,440990,0.4527,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.86543, 41.75803]}",1041,254,52,1,,,
200649,2020,2021-08-23T00:00:00.000,Farmington,22 FARMINGTON MEADOW DR,117190,210000,0.558,Residential,Condo,,,,,,,,
20032,2020,2021-04-08T00:00:00.000,Franklin,170 ROUTE 32,346960,330000,1.0513,Commercial,,,,,,,,ALL CASH PURCHASED,
200089,2020,2020-11-06T00:00:00.000,Glastonbury,105 TAMARAC DR,378100,560000,0.6751,Residential,Single Family,,,,,,,,
200205,2020,2020-12-21T00:00:00.000,Glastonbury,483 TALL TIMBERS RD,317100,526000,0.6028,Residential,Single Family,,,,,,,,
200324,2020,2021-02-22T00:00:00.000,Glastonbury,278 THREE MILE RD,277000,440000,0.6295,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.54349, 41.68837]}",1041,90,54,1,,,
200444,2020,2021-04-26T00:00:00.000,Glastonbury,501 GRISWOLD ST,412700,640000,0.6448,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.59296, 41.72672]}",1041,90,54,1,,,
200564,2020,2021-06-09T00:00:00.000,Glastonbury,41 TALCOTT RD,143700,277000,0.5187,Residential,Condo,,,,,,,,
200672,2020,2021-07-14T00:00:00.000,Glastonbury,240 LEXINGTON RD,279700,505000,0.5538,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.57948, 41.73223]}",1041,90,54,1,,,
200776,2020,2021-08-20T00:00:00.000,Glastonbury,46 RED HILL DR,444600,730000,0.609,Residential,Single Family,,,,,,,,
200018,2020,2020-11-17T00:00:00.000,Goshen,183 ALLYN ROAD,251750,420000,0.5994,Residential,Single Family,,,,,,,,
20000021,2020,2020-10-27T00:00:00.000,Granby,20 MOOSE HORN RD,339770,439444,0.7731,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.87503, 41.97617]}",1041,159,56,1,,,
20000141,2020,2021-04-19T00:00:00.000,Granby,70 SHELLEY DR,182560,366500,0.4981,Residential,Single Family,,,,,,,,
20000265,2020,2021-09-03T00:00:00.000,Granby,138 LOST ACRES RD,266610,610000,0.437,Residential,Single Family,,,,,,,,
200131,2020,2020-10-23T00:00:00.000,Greenwich,64 ORCHARD STREET,886130,1212000,0.7311,Residential,Single Family,,,,,,,,
200271,2020,2020-11-23T00:00:00.000,Greenwich,35 BOULDER BROOK ROAD,1423380,1900000,0.7491,Residential,Single Family,"{'type': 'Point', 'coordinates': [-73.60748, 41.07202]}",1040,6,57,9,,,
200401,2020,2020-12-21T00:00:00.000,Greenwich,34 MONTGOMERY LANE,882910,1625000,0.5433,Residential,Single Family,,,,,,,,
200580,2020,2021-02-03T00:00:00.000,Greenwich,41 GROSSETT ROAD,3013570,5400000,0.558068519,Residential,Single Family,"{'type': 'Point', 'coordinates': [-73.58151, 41.02151]}",1040,83,57,9,,,
200694,2020,2021-03-05T00:00:00.000,Greenwich,5 WALKER COURT,577850,842000,0.6862,Residential,Single Family,"{'type': 'Point', 'coordinates': [-73.67174, 41.03394]}",1040,215,57,9,,,
200844,2020,2021-04-13T00:00:00.000,Greenwich,25 SHORE ACRE DRIVE,1020600,2300000,0.4437,Residential,Single Family,,,,,,,,
200982,2020,2021-05-10T00:00:00.000,Greenwich,25 BIRCHWOOD DRIVE,2042140,3100000,0.6587,Residential,Single Family,,,,,,,,
201127,2020,2021-06-04T00:00:00.000,Greenwich,3 CHASMAR ROAD,847980,1450000,0.5848,Residential,Single Family,,,,,,,,
201266,2020,2021-06-29T00:00:00.000,Greenwich,54 HIGHMEADOW ROAD,1470000,2695000,0.5454,Residential,Single Family,"{'type': 'Point', 'coordinates': [-73.56488, 41.03943]}",1040,250,57,9,,,
201408,2020,2021-07-15T00:00:00.000,Greenwich,50 LAFAYETTE PLACE UN 3H,202680,337500,0.6005,Residential,Condo,,,,,,,,
201535,2020,2021-08-03T00:00:00.000,Greenwich,22 LIVINGSTON PLACE,290430,640000,0.4537,Residential,Condo,,,,,,,,
201665,2020,2021-08-30T00:00:00.000,Greenwich,22 CHERRY TREE LANE,3183460,6600000,0.4823,Residential,Single Family,,,,,,,,
201792,2020,2021-09-30T00:00:00.000,Greenwich,92 ROCKWOOD LANE,2381960,3800000,0.6268,Residential,Single Family,,,,,,,,
201108,2020,2021-01-26T00:00:00.000,Griswold,58-60 RUSSELL STREET,114730,187000,0.6135,Residential,Two Family,"{'type': 'Point', 'coordinates': [-72.88693, 41.29732]}",1044,242,93,7,,DUPLEX,
201256,2020,2021-07-09T00:00:00.000,Griswold,168 KENWOOD,325780,850000,0.383270588,Residential,Single Family,,,,,,,,GOOD SALE PER MLS
200054,2020,2020-10-19T00:00:00.000,Groton,14 ATLANTIC AVE,484260,800000,0.605325,Residential,Single Family,,,,,,,,
200194,2020,2020-12-16T00:00:00.000,Groton,190 BEL AIRE DR,127470,265000,0.481,Residential,Single Family,,,,,,,,
200353,2020,2021-03-25T00:00:00.000,Groton,502 THAMES ST,162820,305000,0.5338,Residential,Three Family,,,,,,,,
200508,2020,2021-06-07T00:00:00.000,Groton,33 PEARL ST (MYSTIC),204540,432000,0.473472222,Residential,Single Family,,,,,,,,
200666,2020,2021-08-04T00:00:00.000,Groton,141 MONUMENT ST,146370,325000,0.450369231,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.08028, 41.35813]}",1045,243,59,8,,,
200002,2020,2020-10-01T00:00:00.000,Guilford,59 LONG HILL FARMS,133860,239000,0.56,Residential,Condo,"{'type': 'Point', 'coordinates': [-72.70868, 41.31139]}",1044,201,60,7,,,
200105,2020,2020-11-23T00:00:00.000,Guilford,984 HOOP POLE RD,243150,355000,0.6849,Residential,Single Family,,,,,,,,
200225,2020,2021-03-01T00:00:00.000,Guilford,76 HOADLEY CREEK CIR,234350,310000,0.7559,Residential,Single Family,,,,,,,,
200345,2020,2021-05-18T00:00:00.000,Guilford,1277 ROUTE 80,317170,465000,0.682,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.72037, 41.35251]}",1044,201,60,7,,,
200469,2020,2021-07-20T00:00:00.000,Guilford,15 AND 25 DRIVEWAY,166350,390000,0.426538462,Residential,Single Family,,,,,,,15 (ASSMT 4200) & 25 DRIVEWAY (ASSMT 162150),
2000016,2020,2021-02-02T00:00:00.000,Hampton,107 GRIFFIN RD,198110,344000,0.5759,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.06839, 41.82084]}",39,105,63,5,,,
20119,2020,2020-11-06T00:00:00.000,Hartford,80 NEWBURY ST,28595,102500,0.2789,Residential,Single Family,"{'type': 'Point', 'coordinates': [-72.69072, 41.74008]}",1041,8,64,1,,,
20263,2020,2020-12-22T00:00:00.000,Hartford,63 EVERGREEN AVE,170730,330000,0.5173,Apartments,,,,,,,,,
20432,2020,2021-02-17T00:00:00.000,Hartford,65 NEW BRITAIN AVE,61705,275000,0.2243,Residential,Three Family,"{'type': 'Point', 'coordinates': [-72.68531, 41.74622]}",1041,182,64,1,,,
20599,2020,2021-04-05T00:00:00.000,Hartford,186 STANDISH ST,60935,282100,0.216,Residential,Three Family,,,,,,,,
20822,2020,2021-06-01T00:00:00.000,Hartford,245 BONNER ST,66151,220000,0.3006,Residential,Single Family,,,,,,,,
